Kecamatan;Sekolah;Sekolah;Sekolah;Sekolah;Siswa;Siswa;Siswa;Siswa;Guru;Guru;Guru;Guru
Tahun;2021;2022;2023;2024;2021;2022;2023;2024;2021;2022;2023;2024
Kec. Jatiluhur;30;30;30;30;6601;6331;6644;6647;270;264;247;246
Kec. Maniis;16;16;16;16;4352;4290;4224;4260;180;186;177;181
Kec. Tegalwaru;25;25;25;25;4870;4983;5101;5100;225;225;222;213
Kec. Plered;26;26;26;26;7706;7620;7817;7822;298;288;283;275
Kec. Sukatani;31;31;31;31;8497;8669;8711;8794;273;269;263;250
Kec. Darangdan;35;35;35;35;7647;7720;7796;7750;298;292;284;266
Kec. Bojong;22;22;22;22;4457;4448;4530;4540;199;187;174;164
Kec. Wanayasa;21;21;21;21;3624;3568;3618;3521;175;170;172;173
Kec. Pasawahan;21;21;21;21;4695;4737;4853;4926;223;219;213;203
Kec. Purwakarta;45;45;45;45;16083;15585;15619;15404;692;662;631;626
Kec. Campaka;17;17;17;17;4389;4437;4533;4584;155;157;152;144
Kec. Sukasari;10;10;10;10;1945;1988;1965;1959;92;90;82;76
Kec. Kiarapedes;17;17;17;17;2408;2437;2454;2468;142;131;130;119
Kec. Babakancikao;16;16;16;16;4047;4039;4181;4242;162;156;145;144
Kec. Cibatu;14;14;14;14;2806;2811;2907;2914;129;132;117;111
Kec. Bungursari;16;16;16;16;4240;4361;4596;4689;165;161;163;172
Kec. Pondok Salam;16;16;16;16;2570;2647;2731;2786;122;117;120;113
